Game Scene;Priority;Feature ID;Feature Description;State;Feature Done Date;Feature Done Commit ID;;Bugfix Description;Bugfix Date;Bugfix Commit ID
Main;P0;MA00;Build Background;Done;2025/4/26;5d1c3d1d;;;;
;P0;MA01;Build UI;Done;2025/4/29;9a597f8f;;;;
;P0;MA02;Select NewPlayer;;;;;;;
;P0;MA03;Select LocalPlayer;;;;;;;
;P1;MA04;Select RecordPlayer;;;;;;;
;P0;MA05;Select BattleGet / DirectGet;;;;;;;
;P2;MA06;Effects;;;;;;;
;P2;MA07;Diamond core + Operator image;;;;;;;
;;;;;;;;;;
Battle_Select;P0;BS00;Build UI;;;;;;;
;P0;BS01;Jump to this scene after click in Main;;;;;;;
;P1;BS02;Random 3 enemy;;;;;;;
;P0;BS03;Select one enemy as leader;;;;;;;
;P2;BS04;Effects;;;;;;;
;;;;;;;;;;
Battle_Pre;P0;BP00;Build UI;;;;;;;
;P0;BP01;Jump to this scene after click in Battle_Select;;;;;;;
;P1;BP02;Random 3 enemy with selected leader;;;;;;;
;P0;BP03;Show enemy spine;;;;;;;
;P0;BP04;Click one ally location to select how to load operator;;;;;;;
;P0;BP05;Use backpack to load operator;;;;;;;
;P2;BP06;Use QR-code to load operator;;;;;;;
;P2;BP07;Use NFC to load operator;;;;;;;
;P1;BP08;Filter when use backpack;;;;;;;
;P2;BP09;Sorted by bonus;;;;;;;
;P2;BP10;Show bonus operator;;;;;;;
;P0;BP11;Show ally spine;;;;;;;
;P0;BP12;Click one ally operator to cancell it;;;;;;;
;P0;BP13;Click BattleStart;;;;;;;
;P2;BP14;Effects;;;;;;;
;;;;;;;;;;
Battle_Attack;P0;BA00;Build UI;;;;;;;
;P0;BA01;Jump to this scene after click in Battle_Pre;;;;;;;
;P0;BA02;Add ally operator energy by time;;;;;;;
;P0;BA03;Click left/right button alternate by rhythm;;;;;;;
;P0;BA04;Add ally operator energy when click correct button;;;;;;;
;P0;BA05;Click ally operator when energy full;;;;;;;
;P0;BA06;Attack enemy when clicked;;;;;;;
;P0;BA07;Enemy dead when hp clear;;;;;;;
;P0;BA08;Battle end when all enemy dead;;;;;;;
;P0;BA09;Enemy cast skill by time;;;;;;;
;P0;BA10;Enemy skill1: disable one ally operator;;;;;;;
;P0;BA11;Enemy skill2: reduce ally operator energy;;;;;;;
;P0;BA12;Enemy skill3: change rhythm;;;;;;;
;P0;BA13;Enemy lost skill when one enemy dead;;;;;;;
;P0;BA14;Show ally summons;;;;;;;
;P0;BA15;Ally summons have prob to offset enemy skill;;;;;;;
;P2;BA16;Effects;;;;;;;
;;;;;;;;;;
Battle_Record;P0;BR00;Build UI;;;;;;;
;P0;BR01;Jump to this scene after battle end;;;;;;;
;P0;BR02;Auto add record percent by time;;;;;;;
;P0;BR03;A moving item;;;;;;;
;P0;BR04;Add record percent by click button when item on it;;;;;;;
;P0;BR05;Calculate and show record success rate;;;;;;;
;P0;BR06;Show record result;;;;;;;
;P0;BR07;Add record success operator to list;;;;;;;
;P2;BR08;Effects;;;;;;;
;;;;;;;;;;
Direct_Get;P0;DG00;Build UI;;;;;;;
;P0;DG01;Jump to this scene after click in Main;;;;;;;
;P0;DG02;Add num by time;;;;;;;
;P0;DG03;Random one operator;;;;;;;
;P2;DG04;Effects;;;;;;;
;;;;;;;;;;
Backpack;P0;BK00;Build UI;;;;;;;
;P0;BK01;Jump to this scene after click in Main;;;;;;;
;P0;BK02;Load operator list;;;;;;;
;P0;BK03;Show operators;;;;;;;
;P0;BK04;Shade black for operators not get;;;;;;;
;P0;BK05;Sorted by install time;;;;;;;
;P1;BK06;Sorted by class & branch;;;;;;;
;P1;BK07;Sorted by same operator;;;;;;;
;P1;BK08;Sorted by belonging;;;;;;;
;P1;BK09;Sorted by skin;;;;;;;
;P1;BK10;Sorted by level;;;;;;;
;P0;BK11;Filtered by class & branch;;;;;;;
;P1;BK12;Filtered by belonging;;;;;;;
;P1;BK13;Filtered by skin;;;;;;;
;P1;BK14;Filtered by state;;;;;;;
;P1;BK15;Filtered by level;;;;;;;
;P0;BK16;Click opeartor to see detail;;;;;;;
;P0;BK17;Detail UI;;;;;;;
;P2;BK18;Effects;;;;;;;
;;;;;;;;;;
Engrave;P0;EG00;Build UI;;;;;;;
;P2;EG01;Select operators;;;;;;;
;P2;EG02;Generate a4 image;;;;;;;
;P2;EG03;Select one operator to write NFC;;;;;;;
;P2;EG04;Effects;;;;;;;
;;;;;;;;;;
Help;P0;HP00;Build UI;;;;;;;
;P0;HP01;Jump to this scene after click in Main;;;;;;;
;P0;HP02;Show each help;;;;;;;
;;;;;;;;;;
Other;P2;OT00;Audio for BGM;;;;;;;
;P2;OT01;Audio for tips;;;;;;;
;P2;OT02;Audio for operator;;;;;;;
;P2;OT03;Support Handle;;;;;;;
